match_id,ano,rodada,data,status,home_team_id,home_team,away_team_id,away_team,home_gols,away_gols,home_gols_1t,away_gols_1t,home_gols_2t,away_gols_2t,vencedor,estadio,cidade,arbitro,tecnico_casa,tecnico_fora,home_pontos,away_pontos,tem_dados
12116974,2024,1,2024-04-13 18:30,100.0,1966.0,Internacional,1955.0,Bahia,2,1,0,0,2,1,1.0,Estádio Beira-Rio,Porto Alegre,Rodrigo Jose Pereira de Lima,Paulo Pezzolano,Rogério Ceni,3.0,0.0,True
12116975,2024,1,2024-04-14 17:00,100.0,1954.0,Cruzeiro,1958.0,Botafogo,3,2,1,1,2,1,1.0,Governador Magalhães Pinto,Belo Horizonte,Matheus Delgado Candançan,Artur Jorge,Franclim Carvalho,3.0,0.0,True
12116976,2024,1,2024-04-14 18:30,100.0,1962.0,Vitória,1963.0,Palmeiras,0,1,0,1,0,0,2.0,Estádio Manoel Barradas,Salvador,Braulio Da Silva Machado,Jair Ventura,Abel Ferreira,0.0,3.0,True
12116977,2024,1,2024-04-13 21:00,100.0,1961.0,Fluminense,1999.0,Red Bull Bragantino,2,2,1,0,1,2,3.0,Estádio do Maracanã,Rio de Janeiro,Maguielson Lima Barbosa,Luis Zubeldia,Vagner Mancini,1.0,1.0,True
12116978,2024,1,2024-04-14 16:00,100.0,1974.0,Vasco da Gama,5926.0,Grêmio,2,1,2,0,0,1,1.0,Estádio São Januário,Rio de Janeiro,Flavio Rodrigues De Souza,Renato Portaluppi,Luís Castro,3.0,0.0,True
12116979,2024,1,2024-04-14 16:00,100.0,1957.0,Corinthians,1977.0,Atlético Mineiro,0,0,0,0,0,0,3.0,Neo Química Arena,Sao Paulo,Yuri Elino Ferreira Da Cruz,Fernando Diniz,Eduardo Dominguez,1.0,1.0,True
12116980,2024,1,2024-04-13 21:00,100.0,1981.0,São Paulo,2020.0,Fortaleza,1,2,0,0,1,2,2.0,MorumBIS,Sao Paulo,Alex Gomes Stefano,Dorival Júnior,Thiago Carpini,0.0,3.0,True
12116981,2024,1,2024-04-14 16:00,100.0,1967.0,Athletico,49202.0,Cuiabá,4,0,3,0,1,0,1.0,Arena da Baixada,Curitiba,Jonathan Benkenstein Pinheiro,Odair Hellmann,Eduardo Barros,3.0,0.0,True
12116982,2024,1,2024-04-14 16:00,100.0,7314.0,Atlético Goianiense,5981.0,Flamengo,1,2,0,1,1,1,2.0,Estádio Antônio Accioly,Goiânia,Andre Luiz Skettino Policarpo Bento,Eduardo Souza,Leonardo Jardim,0.0,3.0,True
12116983,2024,1,2024-04-13 18:30,100.0,1984.0,Criciúma,1980.0,Juventude,1,1,1,0,0,1,3.0,Estádio Heriberto Hülse,Criciúma,Bruno Pereira Vasconcelos,Eduardo Baptista,Mauricio Barbieri,1.0,1.0,True
12116984,2024,2,2024-04-17 19:00,100.0,5926.0,Grêmio,1967.0,Athletico,2,0,1,0,1,0,1.0,Arena do Grêmio,Porto Alegre,Marcelo de Lima Henrique,Luís Castro,Odair Hellmann,3.0,0.0,True
