ano,team_id,player_id,player_name,position,positions_detailed,jersey_number,height,date_of_birth,preferred_foot,country,market_value,contract_until,injured,injury_reason,suspended,suspension_reason,suspension_matches
2024,1954,954888,Kaio Jorge,F,ST,19,182.0,2002-01-24T00:00:00+00:00,Right,BR,25000000.0,1924905600.0,False,,False,,
2024,1954,836070,Luis Sinisterra,F,LW,17,176.0,1999-06-17T00:00:00+00:00,Right,CO,10700000.0,1782777600.0,False,,False,,
2024,1954,1539599,Néiser Villarreal,F,ST,22,186.0,2005-04-23T00:00:00+00:00,Right,CO,2100000.0,1924905600.0,False,,False,,
2024,1954,817650,Bruno Rodrigues,F,"LW,ST",9,177.0,1997-03-07T00:00:00+00:00,Right,BR,1600000.0,1798675200.0,False,,False,,
2024,1954,866847,Chico da Costa,F,ST,91,184.0,1995-05-04T00:00:00+00:00,Right,BR,1200000.0,1830211200.0,False,,False,,
2024,1954,611876,Gerson,M,"MC,RW,DM",11,185.0,1997-05-20T00:00:00+00:00,Left,BR,21000000.0,1924905600.0,False,,True,red_card_suspension,1.0
2024,1954,377238,Matheus Pereira,M,AM,10,175.0,1996-05-05T00:00:00+00:00,Left,BR,13500000.0,1861833600.0,False,,False,,
2024,1954,1482431,Keny Arroyo,M,RW,99,176.0,2006-02-14T00:00:00+00:00,Left,EC,8700000.0,1893369600.0,False,,True,yellow_card_accumulation_suspension,1.0
2024,1954,1116954,Marquinhos,M,RW,7,175.0,2003-04-07T00:00:00+00:00,Left,BR,2900000.0,1861833600.0,False,,False,,
2024,1954,912786,Matheus Henrique,M,"MC,DM",8,175.0,1997-12-19T00:00:00+00:00,Right,BR,4099999.0,1877472000.0,True,Chest Injury,False,,
2024,1954,263477,Lucas Romero,M,"MC,DM",29,167.0,1994-04-18T00:00:00+00:00,Right,AR,2700000.0,1830211200.0,False,,False,,
2024,1954,245159,Lucas Silva,M,"MC,DM",16,182.0,1993-02-16T00:00:00+00:00,Right,BR,450000.0,1830211200.0,False,,False,,
2024,1954,981733,Christian,M,"RW,LW",88,178.0,2000-12-19T00:00:00+00:00,Right,BR,10700000.0,1830211200.0,False,,False,,
2024,1954,247483,Wanderson,M,LW,94,175.0,1994-10-06T00:00:00+00:00,Right,BR,3400000.0,1830211200.0,False,,False,,
2024,1954,553686,Walace,M,"DM,MC",5,188.0,1995-04-04T00:00:00+00:00,Right,BR,3100000.0,1861833600.0,False,,False,,
2024,1954,1647579,Kaique Kenji,M,LW,70,178.0,2006-01-30T00:00:00+00:00,Right,BR,3300000.0,1861833600.0,False,,False,,
2024,1954,1459623,Japa,M,MC,77,177.0,2004-01-02T00:00:00+00:00,Left,BR,460000.0,1924905600.0,False,,False,,
2024,1954,1589354,Murilo Rhikman,M,MC,35,188.0,2006-03-13T00:00:00+00:00,Right,BR,260000.0,1864512000.0,False,,False,,
2024,1954,840220,Fabrício Bruno,D,DC,15,192.0,1996-02-12T00:00:00+00:00,Right,BR,13200000.0,1924905600.0,False,,False,,
2024,1954,1112484,Kaiki,D,DL,6,172.0,2003-03-08T00:00:00+00:00,Left,BR,12700000.0,1830211200.0,False,,False,,
2024,1954,25554,Fagner,D,DR,23,168.0,1989-06-11T00:00:00+00:00,Right,BR,240000.0,1798675200.0,False,,False,,
2024,1954,604274,William Furtado,D,DR,12,176.0,1995-04-03T00:00:00+00:00,Right,BR,3700000.0,1798675200.0,False,,False,,
2024,1954,260077,Lucas Villalba,D,DC,25,177.0,1994-08-19T00:00:00+00:00,Left,AR,1900000.0,1798675200.0,False,,False,,
2024,1954,1887796,Kauã Prates,D,DL,36,182.0,2008-08-11T00:00:00+00:00,Left,BR,10300000.0,1830211200.0,True,Thigh Injury,False,,
2024,1954,978638,João Marcelo,D,DC,43,189.0,2000-06-13T00:00:00+00:00,Right,BR,4099999.0,1861833600.0,False,,False,,
2024,1954,1498670,Jonathan Jesus,D,DC,34,187.0,2004-05-27T00:00:00+00:00,Right,BR,2800000.0,1877472000.0,False,,False,,
2024,1954,2057367,Kauã Moraes,D,DR,2,178.0,2006-09-29T00:00:00+00:00,Right,BR,485000.0,1914364800.0,False,,False,,
2024,1954,1588663,Janderson,D,DC,33,189.0,2005-08-31T00:00:00+00:00,Right,BR,,1864598400.0,False,ACL Knee Injury,False,,
2024,1954,1589355,Bruno Alves,D,DC,44,186.0,2005-08-04T00:00:00+00:00,Both,BR,270000.0,1893369600.0,False,,False,,
2024,1954,1105835,Matheus Cunha,G,GK,31,193.0,2001-05-24T00:00:00+00:00,Right,BR,1900000.0,1861833600.0,False,,False,,
2024,1954,27756,Cássio,G,GK,1,195.0,1987-06-06T00:00:00+00:00,Left,BR,290000.0,1811721600.0,True,Knee Injury,False,,
2024,1954,1589358,Otávio Costa,G,GK,81,192.0,2005-12-27T00:00:00+00:00,Right,BR,525000.0,1861833600.0,False,,False,,
2024,1955,1104070,Erick Pulga,F,LW,16,169.0,2000-10-01T00:00:00+00:00,Right,BR,11700000.0,1893369600.0,False,,False,,
2024,1955,123223,Willian José,F,ST,12,189.0,1991-11-23T00:00:00+00:00,Right,BR,1500000.0,1798675200.0,False,,False,,
2024,1955,2050427,Dell,F,ST,89,174.0,2008-06-09T00:00:00+00:00,Right,BR,3800000.0,1861833600.0,False,,False,,
2024,1955,386212,Everaldo,F,ST,27,181.0,1991-07-05T00:00:00+00:00,Right,BR,435000.0,1798675200.0,False,,False,,
2024,1955,922546,Ademir,F,RW,7,172.0,1995-02-16T00:00:00+00:00,Left,BR,1500000.0,1798675200.0,False,,False,,
2024,1955,1640604,Roger Gabriel,F,ST,80,173.0,2007-02-11T00:00:00+00:00,Right,BR,540000.0,,False,,False,,
2024,1955,145063,Everton Ribeiro,M,"MC,AM",10,174.0,1989-04-10T00:00:00+00:00,Left,BR,1200000.0,1798675200.0,False,,False,,
2024,1955,927975,Jean Lucas,M,MC,6,181.0,1998-06-22T00:00:00+00:00,Right,BR,11600000.0,1861833600.0,False,,False,,
2024,1955,905461,Rodrigo Nestor,M,"MC,LW",11,174.0,2000-08-09T00:00:00+00:00,Left,BR,7400000.0,1924905600.0,False,,True,yellow_card_accumulation_suspension,1.0
2024,1955,1068987,Cristian Olivera,M,RW,99,170.0,2002-04-17T00:00:00+00:00,Right,UY,5400000.0,1798675200.0,False,,False,,
2024,1955,1008832,Caio Alexandre,M,"MC,DM",8,174.0,1999-02-24T00:00:00+00:00,Right,BR,7200000.0,1861833600.0,True,Thigh Injury,False,,
2024,1955,1633616,Ruan Pablo,M,RW,52,183.0,2008-07-22T00:00:00+00:00,Right,BR,7300000.0,1924905600.0,True,Ankle Injury,False,,
2024,1955,924857,Michel Araújo,M,"LW,RW",15,178.0,1996-09-28T00:00:00+00:00,Left,UY,2600000.0,1861833600.0,False,MCL Knee Injury,False,,
2024,1955,959620,Nicolás Acevedo,M,"MC,DM",5,173.0,1999-04-14T00:00:00+00:00,Right,UY,3700000.0,1893369600.0,False,,False,,
2024,1955,874063,Erick,M,"MC,DM",14,176.0,1997-11-14T00:00:00+00:00,Right,BR,4099999.0,1893369600.0,False,,True,yellow_card_accumulation_suspension,1.0
2024,1955,1182233,Mateo Sanabria,M,LW,23,178.0,2004-03-31T00:00:00+00:00,Right,AR,1000000.0,1924905600.0,False,PCL Knee Injury,False,,
2024,1955,1017264,Luciano Juba,D,DL,46,176.0,1999-08-29T00:00:00+00:00,Left,BR,10700000.0,1893369600.0,True,Thigh Injury,False,,
2024,1955,989843,Santiago Ramos Mingo,D,DC,21,185.0,2001-11-21T00:00:00+00:00,Left,AR,12400000.0,1893369600.0,False,,False,,
2024,1955,261687,Gilberto,D,DR,2,181.0,1993-03-07T00:00:00+00:00,Right,BR,2600000.0,1782777600.0,False,,False,,
