ano,team_id,ultimo_1,ultimo_2,ultimo_3,ultimo_4,ultimo_5,gols_pro_ultimos_5,gols_contra_ultimos_5,sequencia_atual,total_vitorias,total_derrotas,total_empates,aproveitamento
2024,1954,V,E,V,V,E,5,8,1,5,3,2,56.7
2024,1955,E,V,E,E,V,14,2,1,7,0,3,80.0
2024,1957,E,V,V,V,D,6,2,1,5,2,3,60.0
2024,1958,D,V,E,E,V,3,4,1,3,4,3,40.0
2024,1961,E,D,V,V,V,7,3,1,7,1,2,76.7
2024,1962,E,D,E,E,V,5,7,1,3,3,4,43.3
2024,1963,V,V,V,V,E,11,5,4,7,1,2,76.7
2024,1966,D,V,E,V,D,13,5,1,6,3,1,63.3
2024,1967,V,E,V,V,V,6,5,1,6,2,2,66.7
2024,1974,D,D,E,D,V,5,4,2,2,5,3,30.0
2024,1977,D,E,V,E,E,8,6,1,3,2,5,46.7
2024,1980,E,E,V,E,V,5,3,2,4,0,6,60.0
2024,1981,V,V,V,V,V,8,8,5,7,2,1,73.3
2024,1984,V,D,D,V,V,5,6,1,4,4,2,46.7
2024,1999,D,V,D,E,V,7,1,1,4,2,4,53.3
2024,2020,E,E,V,V,V,4,1,2,6,0,4,73.3
2024,49202,E,D,E,V,D,3,7,1,2,5,3,30.0
2024,5926,V,V,E,E,D,10,10,2,4,3,3,50.0
2024,5981,V,V,E,V,D,12,6,2,6,2,2,66.7
2024,7314,E,V,V,E,V,6,6,1,5,2,3,60.0
2025,1954,V,E,V,V,E,5,8,1,5,3,2,56.7
2025,1955,E,V,E,E,V,14,2,1,7,0,3,80.0
2025,1957,E,V,V,V,D,6,2,1,5,2,3,60.0
2025,1958,D,V,E,E,V,3,4,1,3,4,3,40.0
2025,1959,E,V,V,V,E,12,6,1,6,1,3,70.0
2025,1961,E,D,V,V,V,7,3,1,7,1,2,76.7
2025,1962,E,D,E,E,V,5,7,1,3,3,4,43.3
2025,1963,V,V,V,V,E,11,5,4,7,1,2,76.7
2025,1966,D,V,E,V,D,13,5,1,6,3,1,63.3
2025,1968,D,V,D,V,E,4,8,1,2,4,4,33.3
2025,1974,D,D,E,D,V,5,4,2,2,5,3,30.0
2025,1977,D,E,V,E,E,8,6,1,3,2,5,46.7
2025,1980,E,E,V,E,V,5,3,2,4,0,6,60.0
2025,1981,V,V,V,V,V,8,8,5,7,2,1,73.3
2025,1999,D,V,D,E,V,7,1,1,4,2,4,53.3
2025,2001,E,V,V,V,E,15,3,1,7,0,3,80.0
2025,2020,E,E,V,V,V,4,1,2,6,0,4,73.3
2025,21982,D,E,D,E,E,7,5,1,2,4,4,33.3
2025,5926,V,V,E,E,D,10,10,2,4,3,3,50.0
2025,5981,V,V,E,V,D,12,6,2,6,2,2,66.7
