ano,match_id,home_wins,away_wins,draws,last_meeting
2024,12116974,4,3,3,
2024,12116975,4,1,5,
2024,12116976,2,6,2,
2024,12116977,6,2,2,
2024,12116978,3,5,2,
2024,12116979,4,3,3,
2024,12116980,1,5,4,
2024,12116981,5,3,2,
2024,12116982,2,6,2,
2024,12116983,2,4,4,
2024,12116984,5,4,1,
2024,12116985,1,4,5,
2024,12116986,4,4,2,
2024,12116987,2,4,4,
2024,12116988,3,2,5,
2024,12116989,6,2,2,
2024,12116990,3,4,3,
2024,12116991,3,4,3,
2024,12116992,1,3,2,
2024,12116993,4,2,4,
2024,12116994,7,0,1,
2024,12116995,3,3,4,
2024,12116996,1,5,4,
2024,12116997,5,4,1,
2024,12116998,4,2,4,
2024,12116999,2,5,3,
2024,12117000,5,3,2,
2024,12117001,5,2,3,
2024,12117002,3,7,0,
2024,12117004,4,2,4,
2024,12117005,6,1,3,
2024,12117006,3,4,3,
2024,12117007,7,2,1,
2024,12117008,4,5,1,
2024,12117009,4,3,3,
2024,12117010,0,7,3,
2024,12117011,6,3,1,
2024,12117012,0,6,2,
2024,12117013,2,6,2,
2024,12117016,3,7,0,
2024,12117017,4,4,2,
2024,12117018,3,5,2,
2024,12117019,2,4,4,
2024,12117020,3,5,2,
2024,12117021,4,4,2,
2024,12117022,1,6,1,
2024,12117026,5,3,2,
2024,12117027,5,2,3,
2024,12117028,5,4,1,
2024,12117029,5,3,1,
2024,12117030,3,6,1,
2024,12117031,1,6,3,
2024,12117032,1,8,1,
2024,12117054,5,3,2,
2024,12117055,1,6,3,
2024,12117056,4,6,0,
2024,12117057,1,7,2,
2024,12117058,2,3,5,
2024,12117059,2,6,2,
2024,12117060,4,4,2,
2024,12117061,2,6,2,
2024,12117062,5,2,3,
2024,12117063,2,6,2,
2024,12117064,3,1,6,
2024,12117065,2,5,3,
2024,12117066,6,2,2,
2024,12117067,9,1,0,
2024,12117068,2,6,2,
2024,12117069,6,1,3,
2024,12117070,1,3,4,
2024,12117071,2,2,6,
2024,12117072,3,5,2,
2024,12117073,5,2,3,
2024,12117074,2,3,5,
2024,12117075,4,2,4,
2024,12117076,2,5,3,
2024,12117077,3,5,2,
2024,12117078,3,5,2,
2024,12117079,7,1,2,
2024,12117080,6,4,0,
2024,12117081,1,7,2,
2024,12117082,0,2,8,
2024,12117083,3,3,4,
2024,12117084,2,7,1,
2024,12117085,2,4,4,
2024,12117086,5,3,2,
2024,12117087,3,2,5,
2024,12117088,7,1,2,
2024,12117089,5,1,2,
2024,12117090,4,3,3,
2024,12117091,2,5,3,
2024,12117092,2,5,3,
2024,12117093,2,6,2,
2024,12117094,5,4,1,
2024,12117095,7,2,1,
2024,12117096,2,7,1,
2024,12117097,7,1,2,
2024,12117098,3,4,3,
2024,12117099,2,4,4,
2024,12117100,6,2,2,
2024,12117101,7,0,3,
2024,12117102,2,2,6,
2024,12117103,1,6,3,
2024,12117104,2,7,1,
2024,12117105,2,6,2,
2024,12117106,5,2,3,
2024,12117107,4,2,4,
2024,12117108,5,3,2,
2024,12117109,4,1,5,
2024,12117110,6,2,2,
2024,12117111,2,6,2,
2024,12117112,4,3,2,
2024,12117113,1,6,3,
2024,12117114,6,3,1,
2024,12117115,4,3,3,
2024,12117116,7,2,1,
2024,12117117,5,1,2,
2024,12117118,5,3,2,
2024,12117119,6,3,1,
2024,12117120,4,2,4,
2024,12117121,3,5,2,
2024,12117122,2,4,4,
2024,12117123,3,3,4,
2024,12117124,2,5,3,
2024,12117125,5,1,4,
2024,12117126,0,5,5,
2024,12117127,5,4,1,
2024,12117128,1,7,2,
2024,12117129,8,0,2,
2024,12117130,1,5,4,
2024,12117131,3,5,2,
2024,12117132,4,0,4,
2024,12117133,2,5,3,
2024,12117134,1,4,5,
2024,12117135,5,1,3,
2024,12117136,1,2,3,
2024,12117137,6,2,2,
2024,12117138,4,4,2,
2024,12117139,7,0,3,
2024,12117140,6,4,0,
2024,12117141,5,4,1,
2024,12117142,1,6,3,
2024,12117143,1,7,2,
2024,12117144,6,0,4,
2024,12117145,4,4,2,
2024,12117146,4,3,3,
2024,12117147,7,1,2,
2024,12117148,5,4,1,
2024,12117149,6,1,3,
2024,12117150,4,4,2,
2024,12117151,3,4,3,
2024,12117152,1,6,1,
2024,12117153,2,5,3,
2024,12117154,4,4,2,
2024,12117155,4,4,2,
2024,12117156,1,7,2,
2024,12117157,4,3,3,
2024,12117158,4,0,2,
2024,12117159,5,0,5,
2024,12117160,1,4,5,
2024,12117162,4,2,4,
2024,12117163,3,5,2,
2024,12117164,5,3,2,
2024,12117165,3,4,3,
2024,12117166,3,4,3,
2024,12117167,6,2,2,
2024,12117168,1,4,5,
2024,12117169,6,2,2,
2024,12117170,2,6,2,
2024,12117171,5,1,4,
2024,12117172,3,5,2,
2024,12117173,4,2,4,
2024,12117174,2,6,2,
2024,12117175,4,3,3,
2024,12117176,3,1,2,
2024,12117177,4,4,2,
2024,12117178,4,3,3,
2024,12117179,2,4,4,
2024,12117180,4,2,4,
2024,12117181,4,5,1,
2024,12117182,2,3,5,
2024,12117183,4,1,5,
2024,12117184,2,5,3,
2024,12117185,3,3,4,
2024,12117186,5,1,4,
2024,12117187,5,2,3,
2024,12117188,4,5,1,
2024,12117189,3,5,2,
2024,12117190,7,3,0,
2024,12117191,4,3,2,
2024,12117192,0,7,1,
2024,12117193,2,4,4,
2024,12117194,4,3,3,
2024,12117195,6,0,2,
2024,12117196,1,6,3,
2024,12117197,3,4,3,
2024,12117198,2,7,1,
2024,12117199,7,0,3,
2024,12117200,3,6,1,
2024,12117201,6,2,2,
2024,12117202,2,4,4,
2024,12117203,5,4,1,
2024,12117204,6,1,3,
2024,12117205,4,4,2,
2024,12117206,5,3,2,
2024,12117207,5,3,2,
2024,12117208,4,4,2,
2024,12117209,6,1,1,
2024,12117210,7,3,0,
2024,12117211,4,2,4,
2024,12117212,3,3,4,
2024,12117213,5,4,1,
2024,12117214,5,4,1,
2024,12117215,8,1,1,
2024,12117216,4,5,1,
2024,12117217,6,3,1,
2024,12117218,6,1,3,
2024,12117219,2,5,3,
2024,12117220,3,5,2,
2024,12117221,3,5,1,
2024,12117222,4,1,2,
2024,12117223,2,6,2,
2024,12117224,5,2,3,
2024,12117225,3,4,3,
2024,12117226,4,5,1,
2024,12117227,5,0,5,
2024,12117228,4,4,2,
2024,12117229,6,0,0,
2024,12117230,5,1,4,
2024,12117231,3,3,4,
2024,12117232,2,3,5,
2024,12117233,4,2,4,
2024,12117234,2,6,2,
2024,12117235,5,2,3,
2024,12117236,3,2,5,
2024,12117237,3,7,0,
2024,12117238,1,7,2,
2024,12117239,4,3,3,
2024,12117240,4,3,3,
2024,12117241,5,3,2,
2024,12117242,2,1,3,
2024,12117243,2,6,2,
2024,12117244,6,4,0,
2024,12117245,3,2,5,
2024,12117246,6,2,2,
2024,12117247,6,2,2,
2024,12117248,3,5,2,
2024,12117249,6,1,3,
2024,12117250,6,2,2,
2024,12117251,2,5,3,
2024,12117252,7,1,2,
2024,12117253,4,4,2,
2024,12117254,2,2,6,
2024,12117255,2,6,2,
2024,12117256,1,9,0,
2024,12117257,5,2,3,
2024,12117258,2,5,3,
2024,12117259,1,3,6,
2024,12117260,1,6,3,
2024,12117261,6,2,2,
2024,12117262,3,1,4,
2024,12117263,5,3,2,
2024,12117264,3,2,5,
2024,12117265,5,2,3,
2024,12117266,4,6,0,
2024,12117267,5,3,2,
2024,12117268,3,3,4,
2024,12117269,7,1,2,
2024,12117270,5,3,2,
2024,12117271,2,4,4,
2024,12117272,2,0,8,
2024,12117273,1,7,2,
2024,12117274,5,2,3,
2024,12117275,7,2,1,
2024,12117276,2,3,5,
2024,12117277,6,2,2,
2024,12117278,3,5,2,
2024,12117279,5,2,3,
2024,12117280,1,7,2,
2024,12117281,4,2,4,
2024,12117282,1,5,2,
2024,12117283,3,4,3,
2024,12117284,6,1,3,
2024,12117285,1,7,2,
2024,12117286,2,6,2,
2024,12117287,4,5,1,
2024,12117288,4,3,3,
2024,12117289,4,2,4,
2024,12117290,2,2,6,
2024,12117291,7,2,1,
2024,12117292,2,7,1,
2024,12117293,0,7,3,
2024,12117294,2,4,4,
2024,12117295,6,1,3,
2024,12117296,1,4,5,
2024,12117297,6,2,2,
2024,12117298,3,4,2,
2024,12117299,7,2,1,
2024,12117300,6,2,2,
2024,12117301,3,5,2,
2024,12117302,2,6,2,
2024,12117303,2,5,3,
2024,12117304,3,3,4,
2024,12117305,3,5,2,
2024,12117306,3,6,1,
2024,12117307,5,3,2,
2024,12117308,3,6,1,
2024,12117309,3,4,3,
2024,12117310,2,4,4,
2024,12117311,4,2,4,
2024,12117312,1,5,2,
2024,12117313,2,7,1,
2024,12117314,5,1,4,
2024,12117316,5,2,3,
2024,12117317,5,3,2,
2024,12117318,5,2,3,
2024,12117319,5,0,5,
2024,12117320,7,1,2,
2024,12117321,1,5,4,
2024,12117322,4,5,1,
2024,12117323,0,8,2,
2024,12117324,0,4,4,
2024,12117325,4,6,0,
2024,12117326,7,1,2,
2024,12117327,4,5,1,
2024,12117328,4,1,5,
2024,12117329,6,1,3,
2024,12117330,4,4,2,
2024,12117331,1,5,3,
2024,12117332,2,6,2,
2024,12117333,2,1,3,
2024,12117334,0,7,3,
2024,12117335,4,5,1,
2024,12117336,1,6,3,
2024,12117337,0,6,4,
2024,12117338,6,1,1,
2024,12117339,4,4,2,
2024,12117340,3,4,3,
2024,12117341,5,2,3,
2024,12117343,4,4,2,
2024,12117344,4,3,3,
2024,12117345,1,7,2,
2024,12117346,0,5,5,
2024,12117347,6,3,1,
2024,12117348,2,4,4,
2024,12117349,7,1,2,
2024,12117350,4,1,5,
2024,12117351,3,4,3,
2024,12117352,5,3,2,
2024,12117353,4,4,2,
2024,12117354,0,4,2,
2024,12117355,4,4,2,
2024,12356168,7,1,2,
2024,12357103,2,5,3,
2024,12357104,6,2,2,
2024,12357114,3,4,3,
2024,12357122,7,3,0,
2024,12357143,6,2,2,
2024,12357162,3,5,2,
2024,12357177,1,2,3,
2024,12357186,3,4,3,
2024,12357197,0,6,0,
2024,12357205,2,5,3,
2024,12357218,3,3,4,
2024,12357219,4,4,2,
2024,12357227,0,5,5,
2024,12357233,2,4,4,
2024,12357241,5,4,1,
2024,12357242,1,5,4,
2024,12357263,4,3,3,
2024,12359685,2,3,5,
2024,12369730,3,2,5,
2024,12376683,1,3,2,
2024,12376871,3,3,4,
2024,12376912,1,4,2,
2024,12479063,3,4,2,
2024,12629257,6,2,2,
2024,12629260,1,6,3,
2024,12727203,3,5,2,
2024,12731927,4,0,4,
2024,12767385,4,0,2,
2024,12785268,4,4,2,
2024,12851651,1,5,4,
2024,12860733,4,5,1,
2024,12943807,4,5,1,
2024,12946543,6,2,2,
2024,12946553,1,4,5,
2024,13105331,3,6,1,
2025,13472584,2,7,1,
2025,13472588,5,3,2,
2025,13472589,5,2,3,
2025,13472590,4,2,4,
2025,13472591,2,7,1,
2025,13472592,5,1,4,
2025,13472593,0,1,1,
2025,13472594,4,3,3,
2025,13472595,5,3,2,
2025,13472596,4,4,2,
2025,13472597,3,4,3,
2025,13472598,4,5,1,
2025,13472599,4,3,3,
2025,13472600,2,4,4,
2025,13472601,4,1,5,
2025,13472602,4,4,2,
2025,13472603,3,5,2,
2025,13472604,5,4,1,
2025,13472605,6,3,1,
2025,13472606,3,6,1,
2025,13472607,5,2,3,
2025,13472608,2,4,4,
2025,13472609,1,5,4,
2025,13472610,6,1,3,
2025,13472611,4,4,2,
2025,13472612,4,1,1,
2025,13472613,4,2,4,
2025,13472614,3,6,1,
2025,13472615,2,6,2,
2025,13472616,2,7,1,
2025,13472617,3,1,2,
2025,13472618,3,4,3,
2025,13472619,2,5,3,
2025,13472620,4,2,4,
2025,13472621,0,3,0,
2025,13472623,6,2,2,
2025,13472632,2,5,3,
2025,13472633,3,6,1,
2025,13472634,4,1,5,
2025,13472635,3,7,0,
2025,13472665,8,1,1,
2025,13472666,3,5,2,
2025,13472667,5,0,5,
2025,13472668,7,1,2,
2025,13472669,2,4,4,
2025,13472670,1,7,2,
2025,13472671,8,1,1,
2025,13472672,0,1,2,
2025,13472673,1,5,4,
2025,13472674,2,6,2,
2025,13472675,5,4,1,
2025,13472676,1,6,3,
2025,13472677,6,1,3,
2025,13472678,5,3,2,
2025,13472679,4,2,4,
2025,13472680,4,3,3,
2025,13472681,2,7,1,
2025,13472682,0,1,1,
2025,13472683,2,4,4,
2025,13472684,4,1,5,
2025,13472685,5,3,2,
2025,13472686,6,2,2,
2025,13472687,7,1,2,
2025,13472688,4,2,4,
2025,13472689,4,2,4,
2025,13472690,3,4,3,
2025,13472691,1,5,4,
2025,13472692,3,1,2,
2025,13472693,1,1,1,
2025,13472694,1,7,2,
2025,13472695,3,4,3,
2025,13472696,1,6,3,
2025,13472697,4,4,2,
2025,13472698,1,1,0,
2025,13472699,6,2,2,
2025,13472700,2,4,4,
2025,13472701,3,6,1,
2025,13472702,4,3,3,
2025,13472703,1,6,3,
2025,13472704,2,6,2,
2025,13472705,3,4,3,
2025,13472706,5,3,2,
2025,13472707,3,2,5,
2025,13472708,2,5,3,
2025,13472709,6,2,2,
2025,13472710,4,2,4,
2025,13472711,1,4,5,
2025,13472712,3,3,4,
2025,13472713,4,2,4,
2025,13472714,4,3,3,
2025,13472715,5,3,2,
2025,13472716,4,3,3,
2025,13472717,0,3,0,
2025,13472718,2,5,3,
2025,13472719,5,4,1,
2025,13472720,1,0,2,
2025,13472721,5,4,1,
2025,13472722,2,6,2,
2025,13472723,2,5,3,
2025,13472724,5,0,5,
2025,13472725,7,1,2,
2025,13472726,5,3,2,
2025,13472727,4,6,0,
2025,13472728,5,2,3,
2025,13472729,5,3,2,
2025,13472730,4,4,2,
2025,13472731,5,1,4,
2025,13472732,3,3,2,
2025,13472733,3,5,2,
2025,13472734,5,1,3,
2025,13472735,3,2,5,
2025,13472736,3,4,2,
2025,13472737,7,2,1,
2025,13472738,2,3,5,
2025,13472739,2,6,2,
2025,13472740,7,3,0,
2025,13472741,0,5,5,
2025,13472742,4,5,1,
2025,13472743,3,7,0,
2025,13472744,2,5,3,
2025,13472745,2,3,5,
2025,13472746,1,6,3,
2025,13472747,2,5,3,
2025,13472748,5,4,1,
2025,13472749,2,2,6,
2025,13472750,4,2,4,
2025,13472751,4,4,2,
2025,13472752,4,2,4,
2025,13472753,2,0,1,
2025,13472754,1,8,1,
2025,13472755,6,0,4,
2025,13472756,3,6,1,
2025,13472757,2,6,2,
2025,13472758,2,4,4,
2025,13472759,7,0,3,
2025,13472760,2,6,2,
2025,13472761,2,5,3,
2025,13472762,3,4,3,
2025,13472763,7,1,2,
2025,13472764,3,5,2,
2025,13472765,4,3,3,
2025,13472766,3,5,2,
2025,13472767,7,1,2,
2025,13472768,4,2,4,
2025,13472769,0,5,5,
2025,13472770,2,4,4,
2025,13472771,3,5,2,
2025,13472772,7,1,2,
2025,13472773,3,1,6,
